Week,Date,Day,Slot,Month Theme,Format,Platforms,Pillar,Topic & Hook,Hook (first 3 sec),Script / Shot List,On-screen Text,Caption Draft,CTA,Hashtag Set,Audio / Style / Ad Spend,Asset to Create,Source Assets & Notes,Filmed,Edited,Status,Posted Link,Views,Saves,Shares,DMs,Bookings
2,"Aug 26, 2026",Wed,Slot 1 - Reel,"Botox, Honestly (Launch)",Reel (video),IG Reels + Facebook Reels + TikTok,Education,3 Botox Myths in 30 Seconds,Three things about Botox that are just not true.,"Talking head, three fast cuts. Cut 1: 'It freezes your face' - no, dosing does. Cut 2: 'You get addicted' - no, you get used to looking rested. Cut 3: 'Wait until you have wrinkles' - the earlier conversation is cheaper. End on camera, no music.",MYTH 1 / MYTH 2 / MYTH 3 + final card: Ask before you book,"The Monday carousel in 30 seconds, because not everyone swipes. Which of the three did you believe? Tell me below.",DM BOTOX or link in bio,Set A,"Trending audio, low volume under voice. Vertical 9:16, natural window light.",Film 3 takes at the window seat. Captions burned in.,Repurpose: Aug 17 carousel '5 Botox Lies You Still Believe',,,Idea,,,,,,
2,"Aug 28, 2026",Fri,Slot 2 - Image / Ad,"Botox, Honestly (Launch)",Paid ad (static),Meta Ads (IG + FB) + GBP,Promo & CTA,Boost: 5 Red Flags at a Med Spa,Your face deserves better than a bargain.,"No filming. Take slide 1 of the Aug 20 carousel, resize to 1:1 and 4:5, add a Learn More button frame.",5 RED FLAGS AT A MED SPA,"Five things worth walking away from. Save this before you book anywhere, not just here.",Save this before you book,Set E,"Meta Ads Manager. Audience: women 28-55, Oakville / Burlington / Milton / Mississauga, 15km radius. Budget: start at $10/day, 5 days.",1:1 + 4:5 ad crops from the existing carousel cover,Reuse: Aug 20 carousel folder,,,Idea,,,,,,
2,"Aug 30, 2026",Sun,Slot 3 - Reel,"Botox, Honestly (Launch)",Reel (video),IG Reels + Facebook Reels + TikTok,Personality & BTS,"The Prep Tray, Start to Finish",The part nobody films.,"Silent, ASMR style. Top-down on the tray. New gloves, sealed vial turned to camera so the lot number reads, alcohol swab, face marked while she moves. No talking, text only.",New tray. Sealed product. Marked while you move. / Ask to watch. Anyone doing it properly will say yes.,"No music, no voiceover. This is just what every appointment looks like before anyone touches your face. Ask to watch next time.",Zero shortcuts. Ever.,Set D,Silent with soft room tone or a quiet ambient track. Top-down tripod.,"Film one continuous top-down take, 25-40 sec",Reuse: Aug 21 prep tray photo set,,,Idea,,,,,,
3,"Sep 2, 2026",Wed,Slot 1 - Reel,Botox Education Month,Reel (video),IG Reels + Facebook Reels + TikTok,Education,What 20 Units Actually Looks Like,Twenty units. That is all it is.,"Hold the syringe to camera, show the volume against a fingertip. Explain forehead vs elevens vs crow's feet unit ranges. End: 'Anyone quoting you a flat price without seeing your face is guessing.'","20 UNITS = about this much / Dose follows your muscle, not a price list","People hear units and picture something enormous. Here is the actual amount. Your number depends on your muscle strength, not on what your friend had.",DM UNITS to ask about yours,Set A,"Voiceover, no trending audio. Macro close-up on the syringe.",Film macro syringe shot + talking head,,,,Idea,,,,,,
3,"Sep 4, 2026",Fri,Slot 2 - Image / Ad,Botox Education Month,Image post + boost,IG feed + Facebook + GBP,Trust & Proof,"Quote card: Rested, Not Frozen",You should still be able to frown.,Static quote card in the editorial template. Dark tone.,"Rested, not frozen.","If you cannot frown, squint or smile afterwards, that was too much. Movement is not a failure of the treatment. It is the point.",Save this,Set C,Boost $8/day for 4 days to the local radius.,"Design quote card, 4:5",,,,Idea,,,,,,
3,"Sep 6, 2026",Sun,Slot 3 - Reel,Botox Education Month,Reel (video),IG Reels + Facebook Reels + TikTok,Personality & BTS,Meet NP Cleo in 20 Seconds,"Hi, I am the person actually holding the needle.","Straight to camera, one take. Name, credential (NP, RN(EC)), why she opened a one-client-at-a-time studio, what she will tell you no about. Warm, unscripted.",NP Cleo / Nurse Practitioner + Injector / Oakville,"Ask any clinic who is actually holding the needle. Here it is me, every time. Nurse practitioner, registered and insured, one client in the room at a time.",DM to book a consult,Set D,No music or very soft. Seated in the treatment room.,"Film 20-30 sec intro, 3 takes",Repurpose: Aug 27 Meet NP Cleo carousel,,,Idea,,,,,,
4,"Sep 9, 2026",Wed,Slot 1 - Reel,Botox Education Month,Reel (video),IG Reels + Facebook Reels + TikTok,Education,"Botox vs Dysport, Plainly",Same job. Different personality.,"Split screen or two-card cutaway. Onset speed, spread, how long each lasts, who each suits. End: 'Neither is better. One is better for you.'",BOTOX vs DYSPORT / onset / spread / longevity,"Two products, one job. The difference is how fast they start and how far they spread. That is genuinely it.",DM which one you are curious about,Set A,Voiceover with clean cuts. No trending audio.,Film talking head + two title cards,Repurpose: Sep 7 carousel,,,Idea,,,,,,
4,"Sep 11, 2026",Fri,Slot 2 - Image / Ad,Botox Education Month,Image post + boost,IG feed + Facebook + GBP,Education,Aftercare in 6 Rules,Save this for the 24 hours after.,"Static checklist card, light template, six numbered lines.",THE FIRST 24 HOURS / 6 rules,"Upright for four hours. No gym, no facials, no heat. Do not rub. Everything else is normal life.",Save this for after your appointment,Set A,Boost $8/day for 4 days.,"Design 6-rule checklist card, 4:5",Repurpose: Sep 10 aftercare carousel,,,Idea,,,,,,
4,"Sep 13, 2026",Sun,Slot 3 - Reel,Botox Education Month,Reel (video),IG Reels + Facebook Reels + TikTok,Education,"Your First Visit, Filmed",Nervous about a first appointment? Watch this.,"Walk-through POV: door, seat, consultation table, face mapping, tray. Voiceover over B-roll. 45 minutes and most of it is talking.",45 minutes / most of it is talking / you can say no at any point,A first visit runs about 45 minutes and most of that is conversation. You can leave without booking anything. That is a normal outcome here.,DM to book your consult,Set A,Soft instrumental. Handheld POV walkthrough.,"Film studio walkthrough B-roll, 60-90 sec of footage",Repurpose: Aug 24 First Visit carousel,,,Idea,,,,,,
5,"Sep 16, 2026",Wed,Slot 1 - Reel,Botox Education Month,Reel (video),IG Reels + Facebook Reels + TikTok,Education,Preventative Botox: When to Actually Start,It is not about your age.,"Talking head. The test: does the line stay when your face relaxes? If yes, it is a static line. If no, you are still preventing. Show with own forehead.",Does the line stay when you relax? / YES = treating / NO = preventing,Nobody needs to start at a specific birthday. The only question that matters is whether the line is still there when your face is at rest.,DM PREVENT to ask about yours,Set A,Voiceover. Mirror or front-on framing.,Film talking head with forehead demo,Repurpose: Aug 31 Preventative Botox carousel,,,Idea,,,,,,
